row ID,Cluster,SlogP,SMR,LabuteASA,TPSA,AMW,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3
Row1519,Non-binders,2.40542,57.1227,86.95840153,41.57,205.286,1,3,0,4,14,25,0,0,2,2,0,0,1,0,0,1,0,0,0.2,8.71303019,5.387062024,3.920166914,2.705900823,1.908747019,4.401463464,2.977668273,1.787456847,1.108857187,-1.29,9.272235023,4.28251324,2.354332148
Row1520,Non-binders,3.3148,68.6898,103.1379708,89.65,247.689,2,5,0,6,17,27,0,0,2,2,0,0,1,0,0,1,0,0,0,9.594336359,5.226758041,3.699094792,2.361481924,1.381977376,4.848793568,3.291894665,2.041869395,1.208447553,-2.14,11.34851155,4.796725348,2.702219301
Row1521,Non-binders,1.7579,61.1356,92.47421616,72.19,226.301,2,3,2,5,15,29,0,0,1,1,0,0,1,0,0,0,0,0,0.4,9.610155553,5.559678737,4.387698581,2.944790836,2.456810761,4.743182156,3.25094875,1.834527442,1.247424977,-1.36,11.71331378,4.929027243,3.055735904
Row1522,Non-binders,2.4813,67.9299,100.442913,57.78,231.299,2,2,1,4,17,34,0,0,2,2,0,0,1,0,0,1,0,0,0.384615385,10.15642679,5.982024117,4.121346423,3.003246502,1.838355749,5.982024117,4.121346423,3.003246502,1.838355749,-1.84,11.63973238,4.993850304,2.462381638
Row1523,Non-binders,2.3374,66.1981,104.0819164,66.76,244.246,2,4,0,4,18,30,0,0,2,2,0,0,0,0,0,2,0,0,0.071428571,9.752375656,5.329094317,3.729352722,2.598200739,1.641168057,5.329094317,3.729352722,2.598200739,1.641168057,-2.49,11.97988023,4.791515002,2.129478022
Row1524,Non-binders,1.7498,65.8262,102.6697191,80.39,239.23,2,4,0,4,18,27,0,0,3,2,0,1,0,0,0,2,0,1,0,9.305162061,5.408564095,4.127747618,3.086017095,2.230721838,5.408564095,4.127747618,3.086017095,2.230721838,-2.62,10.52869544,3.43403111,1.197612803
Row1525,Non-binders,2.30659,61.4667,89.32822403,37.79,224.31,1,4,0,5,14,22,0,0,2,2,0,0,2,0,0,0,0,0,0.111111111,8.951215999,5.337922208,4.100799863,3.070366864,2.373869591,4.050021106,2.797985454,1.918075191,1.271630381,-1.2,9.358706154,3.510743802,1.342104446
Row1526,Non-binders,1.65942,59.6247,89.19206744,41.46,202.257,1,2,1,3,15,29,1,1,2,1,0,1,0,0,1,1,0,0,0.333333333,8.949320013,5.06783996,3.912433571,2.848529053,1.788263604,5.06783996,3.912433571,2.848529053,1.788263604,-1.64,9.897705325,3.847862869,1.90918129
Row1527,Non-binders,0.66581,52.3912,80.64500364,68.88,200.263,3,3,0,5,13,25,0,0,1,1,0,0,1,0,0,0,0,0,0.5,8.201527101,4.486277738,3.24721016,2.043861043,1.428501311,4.078029447,2.838961869,1.839736898,1.182710499,-0.94,10.14291874,4.339702982,2.498996971
Row1528,Non-binders,1.9728,59.2709,92.68804545,65.21,214.224,1,3,1,4,16,26,0,0,2,2,0,0,1,0,0,1,0,0,0,8.459862599,4.748878662,3.135480471,1.994345577,1.259842704,4.748878662,3.135480471,1.994345577,1.259842704,-2.36,10.16778524,4.439868094,2.170475207
Row1529,Non-binders,0.8446,51.3047,81.4882165,49.41,190.202,1,2,2,4,14,24,0,0,2,1,1,1,0,1,1,1,0,0,0.2,7.564675085,4.446859067,3.099677633,2.066224897,1.360826348,4.446859067,3.099677633,2.066224897,1.360826348,-1.84,8.744806127,3.493171612,1.589306081
Row1530,Non-binders,0.6888,62.2293,97.75059976,93.03,232.243,3,4,1,6,17,29,0,0,2,2,0,0,1,0,0,1,0,0,0.090909091,9.227811792,4.951102785,3.368823163,2.339364999,1.425452886,4.951102785,3.368823163,2.339364999,1.425452886,-2.34,11.15454484,4.666606763,2.26097327
Row1531,Non-binders,2.5228,58.7927,86.61034567,24.39,202.729,1,2,0,3,13,32,0,0,2,0,1,2,0,0,1,0,1,1,0.9,8.906162986,5.24855967,3.911239482,2.850265372,2.139937989,5.24855967,3.911239482,2.850265372,2.139937989,-0.24,10.83836991,5.481752686,3.183034083
Row1532,Non-binders,2.2628,63.0127,94.14941382,41.99,212.252,1,2,1,3,16,28,0,0,2,2,0,0,1,0,0,1,0,0,0.076923077,8.75872109,5.082329244,3.45225199,2.152799827,1.423139317,5.082329244,3.45225199,2.152799827,1.423139317,-2.16,10.36092037,5.071152041,2.916788901
Row1533,Non-binders,3.21942,68.0485,101.8507269,49.33,233.311,2,2,1,3,17,36,0,0,2,1,1,1,0,0,0,1,1,1,0.5,10.20039687,6.27093653,4.844788018,3.385887115,2.349572902,6.27093653,4.844788018,3.385887115,2.349572902,-1.51,11.96043231,5.213307884,2.991188501
Row1534,Non-binders,1.4385,58.0052,91.80920159,67.49,215.212,1,4,1,5,16,25,0,0,2,2,0,0,2,0,0,0,0,0,0,8.329725925,4.63018789,2.962786452,1.809097975,1.080626169,4.63018789,2.962786452,1.809097975,1.080626169,-2.43,10.10023084,4.879532198,2.537582762
Row1535,Non-binders,1.72488,63.8604,99.06811917,76.86,228.255,1,5,0,5,17,29,0,0,2,2,0,0,1,0,0,1,0,0,0.166666667,9.421097473,5.226756435,3.360959791,2.334996618,1.569751444,5.226756435,3.360959791,2.334996618,1.569751444,-2.48,11.01885748,4.57615594,1.926249732
